business_id|insertedAtTimestamp|name|address|coordinates|number_of_reviews|rating|zip_code|cuisine
XsXLVWr1UZWVhKThNvNiaA|2024-02-20 13:35:23.865778|Blue Willow 夜来湘|['40 W 56th St', 'New York, NY 10019']|40.76292,-73.976546|1082|4.4|10019|Chinese restaurant
BNaveJmi-OUGKG9sRfrIhA|2024-02-20 13:35:23.865814|Mr. Sun|['48 W 48th St', 'New York, NY 10036']|40.75809,-73.98026|280|4.3|10036|Chinese restaurant
UK1oGbr8GU2rufpnJR4-HQ|2024-02-20 13:35:23.865824|Joe's Home of Soup Dumplings|['7 E 48th St', 'between Fifth and Madison avenues', 'New York, NY 10017']|40.75723,-73.97702|586|4.5|10017|Chinese restaurant
h0pRCiJDrCN7tm3VX5tILQ|2024-02-20 13:35:23.865834|CHILI|['13 E 37th St', 'New York, NY 10016']|40.75002,-73.98215|766|4.6|10016|Chinese restaurant
iu1TLnNH13AdBDg_LmnuHQ|2024-02-20 13:35:23.865842|Lunar|['12 E 37th St', 'New York, NY 10016']|40.74981466503257,-73.98231633276964|14|4.6|10016|Chinese restaurant
bVkjBJlAIwKAj9Aw1KVWjA|2024-02-20 13:35:23.865850|Dim Sum Palace|['334 W 46th St', 'New York, NY 10036']|40.76015,-73.9893699|1750|4.1|10036|Chinese restaurant
pVlKM-vyOJxfoJ9fwMDDfA|2024-02-20 13:35:23.865858|Sky Pavilion|['325 W 42nd St', 'New York, NY 10036']|40.757968,-73.990862|3|4.7|10036|Chinese restaurant
ojbH3wnRu050hRhkmoxRiA|2024-02-20 13:35:23.865871|Han Dynasty|['215 W 85th St', 'New York, NY 10024']|40.7875228,-73.97639697790984|731|3.8|10024|Chinese restaurant
ZWP7yq9C2bhCcLkMR9BmVw|2024-02-20 13:35:23.865881|Mala Project|['245 East 53rd St', 'New York, NY 10022']|40.75714784759798,-73.96769121739368|97|4.4|10022|Chinese restaurant
lSuyHj3cCXbKjcZaakF9lQ|2024-02-20 13:35:23.865903|Dimsum Garden|['1068 2nd Ave', 'New York, NY 10022']|40.758701,-73.965463|29|4.4|10022|Chinese restaurant
